n,p,Algorithm,weight,ratio,time,gap
60,0.1,Greedy,209.1,0.9090700805983465,0.0001814126968383789,0.09092991940165354
60,0.1,LAM,209.2,0.9094925016169849,0.000686478614807129,0.09050749838301514
60,0.1,Path-Growing,191.7,0.833854231698633,2.3746490478515624e-05,0.16614576830136696
60,0.1,Improved-Path,209.4,0.9112296023600368,0.00035338401794433595,0.08877039763996314
60,0.1,Suitor,206.8,0.8990231483685676,0.0006789684295654297,0.10097685163143244
160,0.1,Greedy,691.8,0.9156712503421097,0.0026090860366821287,0.08432874965789033
160,0.1,LAM,684.6,0.9061810279237676,0.0007066011428833007,0.0938189720762325
160,0.1,Path-Growing,678.2,0.8976811726140147,0.0029340505599975584,0.10231882738598519
160,0.1,Improved-Path,693.4,0.9177955385050802,0.001676321029663086,0.08220446149491975
160,0.1,Suitor,672.1,0.889638344938988,0.00251462459564209,0.11036165506101185
260,0.1,Greedy,1190.5,0.9324121708086146,0.010286378860473632,0.06758782919138531
260,0.1,LAM,1183.7,0.9270951374182287,0.005425786972045899,0.07290486258177128
260,0.1,Path-Growing,1175.6,0.9207416101468352,0.005004405975341797,0.07925838985316468
260,0.1,Improved-Path,1192.3,0.9338130047726436,0.003746342658996582,0.06618699522735642
260,0.1,Suitor,1177.3,0.9220633288086857,0.005376076698303223,0.07793667119131427
360,0.1,Greedy,1680.4,0.9406093520657878,0.013268208503723145,0.059390647934212136
360,0.1,LAM,1671.7,0.9357478080312995,0.011176180839538575,0.06425219196870038
360,0.1,Path-Growing,1658.7,0.9284688228275126,0.008180999755859375,0.0715311771724875
360,0.1,Improved-Path,1679.7,0.9402203845633705,0.0060520172119140625,0.05977961543662956
360,0.1,Suitor,1658.1,0.9281268168218345,0.010659003257751464,0.07187318317816545
460,0.1,Greedy,2186.5,0.9526808621741154,0.017437553405761717,0.047319137825884615
460,0.1,LAM,2166.6,0.9440127923095906,0.01645045280456543,0.05598720769040942
460,0.1,Path-Growing,2167.5,0.9444037736591957,0.01350700855255127,0.05559622634080415
460,0.1,Improved-Path,2185.6,0.9522894835179114,0.014082551002502441,0.04771051648208874
460,0.1,Suitor,2161.9,0.941959696227214,0.016184544563293456,0.05804030377278609
560,0.1,Greedy,2678.4,0.9572212734208698,0.029655098915100098,0.042778726579130275
560,0.1,LAM,2662.5,0.9515374029192813,0.026734089851379393,0.04846259708071883
560,0.1,Path-Growing,2657.9,0.9498945716608288,0.022171616554260254,0.05010542833917131
560,0.1,Improved-Path,2680.3,0.9578999211699379,0.021906042098999025,0.04210007883006197
560,0.1,Suitor,2659.3,0.9503943420696966,0.030094480514526366,0.04960565793030326
660,0.1,Greedy,3182.0,0.9644761208984433,0.04571025371551514,0.03552387910155677
660,0.1,LAM,3166.0,0.9596265153329695,0.03840804100036621,0.040373484667030446
660,0.1,Path-Growing,3157.5,0.9570505740078206,0.02998535633087158,0.04294942599217945
660,0.1,Improved-Path,3179.0,0.9635671494289634,0.03159477710723877,0.036432850571036596
660,0.1,Suitor,3166.0,0.9596267633921414,0.04007413387298584,0.04037323660785867
760,0.1,Greedy,3681.0,0.9688116817445034,0.060246849060058595,0.0311883182554966
760,0.1,LAM,3656.7,0.962415975118106,0.0704002857208252,0.03758402488189413
760,0.1,Path-Growing,3668.4,0.9654954489408569,0.04241330623626709,0.03450455105914299
760,0.1,Improved-Path,3685.8,0.9700749435447001,0.03810708522796631,0.02992505645529987
760,0.1,Suitor,3653.4,0.9615477133871794,0.05474777221679687,0.038452286612820546
860,0.1,Greedy,4182.2,0.9726272956934279,0.08111009597778321,0.02737270430657211
860,0.1,LAM,4164.7,0.9685573821927218,0.06936683654785156,0.031442617807278056
860,0.1,Path-Growing,4168.6,0.9694645104053403,0.056043171882629396,0.030535489594659654
860,0.1,Improved-Path,4188.8,0.9741622713773349,0.048360586166381836,0.025837728622665083
860,0.1,Suitor,4146.8,0.9643944724841365,0.07404391765594483,0.035605527515863614
960,0.1,Greedy,4679.4,0.9748953644856568,0.0991739273071289,0.025104635514343266
960,0.1,LAM,4655.7,0.9699577646384665,0.09019370079040527,0.030042235361533654
960,0.1,Path-Growing,4660.2,0.9708952950267417,0.06812102794647217,0.029104704973258323
960,0.1,Improved-Path,4680.4,0.9751036327012571,0.06508479118347169,0.02489636729874279
960,0.1,Suitor,4647.4,0.9682285675835243,0.08714823722839356,0.031771432416475655
1060,0.1,Greedy,5175.1,0.9764339622641509,0.12122476100921631,0.023566037735849053
1060,0.1,LAM,5160.1,0.9736037735849056,0.13862292766571044,0.026396226415094336
1060,0.1,Path-Growing,5164.0,0.9743396226415093,0.07928683757781982,0.02566037735849056
1060,0.1,Improved-Path,5179.9,0.9773396226415094,0.077107834815979,0.022660377358490563
1060,0.1,Suitor,5154.0,0.9724528301886792,0.10965116024017334,0.027547169811320753
